Port,Service level,TPT,Origin Port,Carrier,Order ID,Order Date,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,minm_wgh_qty,max_wgh_qty,minimum cost,rate,mode_dsc,Distance,Vehicle Used,Milage,Daily Capacity,Cost/unit,Total Years
PORT04-PORT09,DTP,2,PORT04,V444_0,1447191441,4-Oct-21,3,0,V55555_4,1657063,PLANT03,PORT09,319,0.016591349,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_0,1447373494,23-Oct-21,3,0,V55555_2,1677889,PLANT03,PORT09,240,0.017349059,0,0.5,2.6175,0.7425,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447152759,26-Feb-21,0,0,V555555555_27,1695348,PLANT03,PORT09,279,0.017594469,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_0,1447409256,15-Jan-21,3,0,V5555555_19,1692108,PLANT03,PORT09,329,0.017759533,0.01,0.5,2.25375,0.37875,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447306639,8-May-21,3,0,V5555555_19,1692108,PLANT03,PORT09,243,0.017759533,0.01,0.5,2.25375,0.37875,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447293117,17-May-21,3,0,V55555_2,1697080,PLANT03,PORT09,297,0.017777342,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447377776,24-Mar-21,0,0,V555555555_27,1689147,PLANT03,PORT09,316,0.018828824,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447260488,15-Oct-21,3,0,V555555_6,1683199,PLANT03,PORT09,301,0.019133742,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447140260,17-May-21,3,0,V55555_2,1680210,PLANT03,PORT09,324,0.019798238,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447373444,23-Jan-21,3,0,V55555_2,1680210,PLANT03,PORT09,262,0.019798238,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447140284,4-Oct-21,3,0,V55555_2,1680210,PLANT03,PORT09,312,0.019798238,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_0,1447172413,10-Jul-21,3,0,V55555_2,1680210,PLANT03,PORT09,263,0.019798238,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_5,1447172423,30-Sep-21,3,0,V55555_2,1680210,PLANT03,PORT09,344,0.019798238,0,99.99,2.8125,0.09,GROUND,284,3,15,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_0,1447140283,28-Oct-21,3,0,V55555_2,1680210,PLANT03,PORT09,258,0.019798238,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447343587,5-Jan-21,3,1,V555_15,1680210,PLANT03,PORT09,304,0.019798238,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447343586,26-Sep-21,3,1,V555_15,1680210,PLANT03,PORT09,299,0.019798238,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447289656,7-Aug-21,1,0,V555555555555555555_17,1687346,PLANT03,PORT09,315,0.020871377,0.01,0.5,2.25375,0.37875,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_2,1447145177,5-Apr-21,0,0,V5555555_22,1672661,PLANT03,PORT09,285,0.02089967,0.01,0.5,2.25375,0.37875,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_1,1447165436,8-Jan-21,3,0,V5555555_22,1697872,PLANT03,PORT09,248,0.02103458,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447392385,17-May-21,0,0,V555555555_27,1668545,PLANT03,PORT09,265,0.021131607,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447163913,10-Jul-21,0,0,V555555555_27,1683203,PLANT03,PORT09,235,0.021468285,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447145222,5-Feb-21,0,0,V5555555_22,1680915,PLANT03,PORT09,271,0.022723612,0.01,0.5,2.25375,0.37875,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447277444,29-Jun-21,3,0,V5555555_12,1662552,PLANT03,PORT09,303,0.022933811,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447152974,4-Oct-21,0,0,V555555555_27,1657064,PLANT03,PORT09,293,0.023274366,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTD,1,PORT04,V444_2,1447226241,30-Apr-21,0,0,V5555555_22,1687491,PLANT03,PORT09,283,0.024391729,0.01,0.5,2.25375,0.37875,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_4,1447323930,11-Apr-21,0,0,V55555_26,1652604,PLANT03,PORT09,273,0.025037238,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447178873,22-Jun-21,3,0,V555555_6,1696073,PLANT03,PORT09,316,0.025951841,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447389280,15-Oct-21,0,0,V55555_26,1697086,PLANT03,PORT09,262,0.026528238,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447189615,5-Apr-21,3,0,V5555555_12,1662552,PLANT03,PORT09,264,0.027520574,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTD,2,PORT04,V444_2,1447283766,18-Jan-21,0,0,V55555_26,1666466,PLANT03,PORT09,279,0.027877462,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_4,1447207457,6-Oct-21,0,0,V555555555_27,1692113,PLANT03,PORT09,293,0.028646427,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_5,1447225245,3-Apr-21,3,0,V55555_4,1654621,PLANT03,PORT09,256,0.028810365,0,99.99,2.8125,0.09,GROUND,284,3,15,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_0,1447204793,14-Sep-21,3,0,V555555_6,1677889,PLANT03,PORT09,330,0.028915098,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_0,1447219887,1-Aug-21,3,0,V55555_2,1697072,PLANT03,PORT09,262,0.030910639,0,0.5,2.6175,0.7425,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447193640,1-Aug-21,0,0,V555555555_14,1657064,PLANT03,PORT09,305,0.031032488,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_2,1447384448,15-May-21,5,0,V55555555555555_8,1676565,PLANT03,PORT09,267,0.03139637,0.01,0.5,2.25375,0.37875,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,1,PORT04,V444_0,1447322567,3-Jun-21,5,0,V55555555555555_8,1676566,PLANT03,PORT09,261,0.031486129,0.01,0.5,2.25375,0.37875,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447392384,9-Mar-21,0,0,V555555555_27,1668545,PLANT03,PORT09,286,0.03169741,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447164251,18-Oct-21,0,0,V555555555_27,1668547,PLANT03,PORT09,240,0.031865723,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447305032,14-Sep-21,3,0,V55555_4,1679638,PLANT03,PORT09,270,0.03381662,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447152758,18-Feb-21,0,0,V555555555_27,1695348,PLANT03,PORT09,254,0.035188939,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447237188,18-Oct-21,3,0,V55555_4,1652080,PLANT03,PORT09,259,0.035451128,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_1,1447185761,10-Jan-21,0,0,V55555_26,1689145,PLANT03,PORT09,254,0.035769194,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447265677,22-Oct-21,0,0,V555555555_27,1635536,PLANT03,PORT09,255,0.036877235,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447238315,26-Mar-21,3,0,V55555_4,1675662,PLANT03,PORT09,278,0.037179759,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447156690,12-Apr-21,3,0,V555555_6,1677878,PLANT03,PORT09,311,0.037181293,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447391144,25-May-21,0,0,V555555555_27,1689147,PLANT03,PORT09,344,0.037657647,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447371585,6-Jun-21,3,0,V5555555_12,1700014,PLANT03,PORT09,289,0.037901044,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447304654,7-Aug-21,0,0,V555555555_27,1657064,PLANT03,PORT09,299,0.038790609,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447304581,23-Jun-21,0,0,V55_13,1672714,PLANT03,PORT09,245,0.040583116,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_2,1447179661,18-Feb-21,3,0,V55555_2,1696488,PLANT03,PORT09,316,0.040744681,0,0.5,2.6175,0.7425,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_4,1447194403,30-Jul-21,3,0,V55555_2,1697067,PLANT03,PORT09,241,0.041069743,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447406927,1-Jan-21,3,0,V555555_6,1660885,PLANT03,PORT09,338,0.044126519,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447284972,11-Apr-21,3,0,V555555_6,1677884,PLANT03,PORT09,335,0.044212472,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447334801,10-Jun-21,3,0,V555555_6,1675615,PLANT03,PORT09,287,0.044226849,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447331180,27-Oct-21,0,0,V555555555_27,1689147,PLANT03,PORT09,263,0.045189176,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447162972,8-Mar-21,5,0,V55555555_7,1680915,PLANT03,PORT09,261,0.045447223,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447205223,28-Mar-21,3,0,V55555_4,1650571,PLANT03,PORT09,295,0.045627884,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447361725,16-Mar-21,3,0,V555555_6,1699954,PLANT03,PORT09,267,0.046573322,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447155211,6-Oct-21,3,0,V55555_4,1696075,PLANT03,PORT09,325,0.046628115,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447219413,15-Jan-21,3,0,V555555_6,1690001,PLANT03,PORT09,312,0.047460741,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_4,1447207598,5-Jul-21,3,0,V55555_4,1636782,PLANT03,PORT09,250,0.048099667,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_4,1447316094,15-Aug-21,1,0,V555555555555555555_17,1697085,PLANT03,PORT09,272,0.049352507,0.01,0.5,2.25375,0.37875,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447284973,29-Jun-21,3,0,V555555_6,1687661,PLANT03,PORT09,253,0.0496,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447160035,5-Jan-21,3,0,V555555_6,1687661,PLANT03,PORT09,278,0.0496,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447365771,25-May-21,3,0,V555555_6,1687661,PLANT03,PORT09,238,0.0496,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447185704,28-Feb-21,3,0,V55555_2,1695817,PLANT03,PORT09,505,0.049774473,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_0,1447211434,15-May-21,3,0,V55555_2,1682983,PLANT03,PORT09,301,0.050373105,0,0.5,2.6175,0.7425,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447237094,22-Jul-21,0,0,V555555555_27,1696482,PLANT03,PORT09,333,0.050780715,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447200082,20-Aug-21,0,0,V55555_26,1655723,PLANT03,PORT09,305,0.053021208,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447240552,26-Mar-21,3,0,V5555555_19,1697085,PLANT03,PORT09,290,0.053839099,0.01,0.5,2.25375,0.37875,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447371586,15-Aug-21,3,0,V5555555_12,1700003,PLANT03,PORT09,287,0.054210267,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447238138,14-Sep-21,3,0,V5555555_22,1683636,PLANT03,PORT09,279,0.055319938,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_2,1447226244,13-Aug-21,0,0,V5555555_22,1683636,PLANT03,PORT09,236,0.055319938,0.01,0.5,2.25375,0.37875,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,1,PORT04,V444_1,1447373493,18-Oct-21,3,0,V55555_2,1689145,PLANT03,PORT09,299,0.05723071,0,0.5,2.6175,0.7425,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447207453,3-Sep-21,0,0,V555555555_27,1692113,PLANT03,PORT09,259,0.057292854,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447323909,30-Sep-21,3,0,V555555_6,1658528,PLANT03,PORT09,306,0.057327374,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447373466,19-May-21,3,0,V55555_2,1677889,PLANT03,PORT09,281,0.057830196,0,0.5,2.6175,0.7425,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_4,1447191649,19-Feb-21,3,0,V55555_2,1677889,PLANT03,PORT09,289,0.057830196,0,0.5,2.6175,0.7425,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447204792,21-Sep-21,3,0,V555555_6,1677889,PLANT03,PORT09,333,0.057830196,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447158079,16-Mar-21,3,0,V55555_4,1696075,PLANT03,PORT09,283,0.058285144,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_0,1447350297,5-Apr-21,3,0,V5555555_19,1692108,PLANT03,PORT09,254,0.059198443,0.01,0.5,2.25375,0.37875,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447360509,9-Mar-21,3,0,V5555555_19,1692108,PLANT03,PORT09,263,0.059198443,0.01,0.5,2.25375,0.37875,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_2,1447280521,23-Jan-21,3,0,V5555555_19,1692108,PLANT03,PORT09,316,0.059198443,0.01,0.5,2.25375,0.37875,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_0,1447400415,21-Sep-21,3,0,V55555_2,1680210,PLANT03,PORT09,276,0.059394714,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447173729,26-Sep-21,3,0,V55555_2,1680210,PLANT03,PORT09,346,0.059394714,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447373443,9-Feb-21,3,0,V55555_2,1680210,PLANT03,PORT09,320,0.059394714,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_5,1447186295,18-May-21,3,0,V55555_2,1696758,PLANT03,PORT09,244,0.059972466,0,0.5,2.6175,0.7425,GROUND,284,3,15,1013,0.233,15
PORT04-PORT09,DTD,1,PORT04,V444_2,1447144047,21-Jun-21,0,0,V5555555555555_16,1682799,PLANT03,PORT09,296,0.062339814,0.01,0.5,2.25375,0.37875,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_4,1447221910,24-Jan-21,3,0,V555555_6,1615677,PLANT03,PORT09,287,0.063260415,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447203029,8-Jan-21,0,0,V5555_33,1682754,PLANT03,PORT09,308,0.063460123,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_5,1447407451,30-Jul-21,0,0,V5555_33,1682754,PLANT03,PORT09,279,0.063460123,0,99.99,2.8125,0.09,GROUND,284,3,15,1013,0.233,15
PORT04-PORT09,DTD,2,PORT04,V444_2,1447156549,23-Sep-21,3,0,V555555_6,1672664,PLANT03,PORT09,249,0.06390949,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_0,1447293766,21-Sep-21,3,0,V55555_4,1655373,PLANT03,PORT09,326,0.065543964,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447325842,10-Jul-21,3,0,V55555_4,1655373,PLANT03,PORT09,250,0.065543964,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447171210,7-May-21,5,0,V55555555_7,1646909,PLANT03,PORT09,331,0.065979503,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447171207,28-Feb-21,5,0,V55555555_7,1646909,PLANT03,PORT09,334,0.065979503,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447171209,10-Jul-21,5,0,V55555555_7,1646909,PLANT03,PORT09,243,0.065979503,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447171208,20-Aug-21,5,0,V55555555_7,1646909,PLANT03,PORT09,241,0.065979503,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447171206,28-Apr-21,5,0,V55555555_7,1646909,PLANT03,PORT09,250,0.065979503,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447358503,7-Jul-21,3,0,V555555_6,1676853,PLANT03,PORT09,284,0.066040636,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447316093,3-Sep-21,1,0,V555555555555555555_17,1697084,PLANT03,PORT09,263,0.066045426,0.01,0.5,2.25375,0.37875,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447334759,2-Jun-21,3,0,V55555555_0,1677891,PLANT03,PORT09,276,0.066142538,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447383187,14-Jul-21,3,0,V555555_6,1651302,PLANT03,PORT09,308,0.066396044,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_1,1447265630,23-Jun-21,3,0,V555555_6,1677878,PLANT03,PORT09,295,0.066926328,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_2,1447390908,3-Sep-21,3,0,V55555_2,1700097,PLANT03,PORT09,292,0.067020725,0,0.5,2.6175,0.7425,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTD,2,PORT04,V444_2,1447224402,28-Feb-21,3,0,V55555_4,1650568,PLANT03,PORT09,255,0.06709175,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTD,1,PORT04,V444_2,1447179091,19-May-21,0,0,V5555555_22,1683633,PLANT03,PORT09,267,0.067782258,0.01,0.5,2.25375,0.37875,GROUND,284,6,12,1013,0.233,15
