Closer Date	Complain Type	Complain	Customer Id	Final	Final detail	Last date	Month	Month date	Name-Mont	Reason	Status	Ticket ID	Wait time s	Week	Call Response	Call Time sec	Complain and date duration	Final Score	Hour	Joining Duration	Monthcount	Resolution Provide	Response time sec	Technical Knowledge
4/21/2021	Internet Not Working/Mobile setting	4/21/2021	S0002	Retain	FCR		Apr	4/20/2021	S0002-4		Close	T3-3030	50-60	Week-17	2	656		3	1		4	4	59	3
6/20/2021	NW Fluctuation	6/20/2021	S0002	Retain	FCR		Jun	6/19/2021	S0002-6		Close	T3-3031	> 60	Week-25	0	822		3	10		6	5	111	5
11/21/2021	Coverage Issue	11/21/2021	S0004	Retain	FCR		Nov	11/17/2021	S0004-11		Close	T3-3032	30-40	Week-47	3	467		4	11		11	5	39	3
11/24/2021	Internet Not Working/Mobile setting	11/24/2021	S0004	Retain	FCR		Nov	11/17/2021	S0004-11		Close	T3-3033	30-40	Week-47	3	675		4	13		11	4	39	5
12/18/2021	Call Quality	12/18/2021	S0004	Retain	FCR		Dec	12/17/2021	S0004-12		Close	T3-3034	> 60	Week-51	1	616		2	9		12	5	87	1
2/21/2021	Msg related	2/21/2021	S0004	Retain	FCR		Feb	2/20/2021	S0004-2		Close	T3-3037	> 60	Week-8	1	846		3	21		2	5	88	4
2/24/2021	DND service related	2/24/2021	S0004	Retain	FCR		Feb	2/20/2021	S0004-2		Close	T3-3036	> 60	Week-8	2	521		4	12		2	4	88	5
2/27/2021	Coverage Issue	2/27/2021	S0004	Retain	FCR		Feb	2/20/2021	S0004-2		Close	T3-3035	> 60	Week-8	1	437		3	21		2	4	88	5
3/23/2021	Volte related Issue	3/23/2021	S0004	Retain	FCR		Mar	3/22/2021	S0004-3		Close	T3-3039	> 60	Week-13	2	582		4	1		3	4	121	5
3/29/2021	Simcard issue	3/29/2021	S0004	Retain	FCR		Apr	3/22/2021	S0004-3		Close	T3-3038	> 60	Week-13	0	257		3	20		4	5	121	5
4/22/2021	Volte related Issue	4/22/2021	S0004	Retain	FCR		Apr	4/21/2021	S0004-4		Close	T3-3040	> 60	Week-17	2	845		3	9		4	4	150	4
5/22/2021	DND service related	5/22/2021	S0004	Retain	FCR		May	5/21/2021	S0004-5		Close	T3-3042	> 60	Week-21	0	453		3	18		5	5	100	5
5/25/2021	Coverage Issue	5/25/2021	S0004	Retain	FCR		May	5/21/2021	S0004-5		Close	T3-3041	> 60	Week-21	0	199		3	21		5	5	100	5
6/21/2021	NW Fluctuation	6/21/2021	S0004	Retain	FCR		Jun	6/20/2021	S0004-6		Close	T3-3043	50-60	Week-26	2	256		4	19		6	5	59	5
7/21/2021	Simcard issue	7/21/2021	S0004	Retain	FCR		Jul	7/20/2021	S0004-7		Close	T3-3044	0-10	Week-30	5	872		3	10		7	4	8	0
8/26/2021	Msg related	8/26/2021	S0004	Retain	FCR		Aug	8/19/2021	S0004-8		Close	T3-3045	> 60	Week-34	0	613		3	21		8	5	145	4
1/15/2021	Data Speed Issue	1/15/2021	S0006	Retain	FCR		Jan	1/14/2021	S0006-1		Close	T3-3051	> 60	Week-3	0	271		3	20		1	5	79	5
1/18/2021	NW Fluctuation	1/18/2021	S0006	Retain	FCR		Jan	1/14/2021	S0006-1		Close	T3-3052	> 60	Week-3	1	237		4	19		1	5	79	5
10/12/2021	Data Speed Issue	10/12/2021	S0006	Retain	FCR		Oct	10/11/2021	S0006-10		Close	T3-3047	> 60	Week-42	2	142		3	11		10	4	65	4
10/15/2021	Coverage Issue	10/15/2021	S0006	Retain	FCR		Oct	10/11/2021	S0006-10		Close	T3-3046	> 60	Week-42	1	131		2	21		10	4	65	1
11/11/2021	Data Speed Issue	11/11/2021	S0006	Retain	FCR		Nov	11/10/2021	S0006-11		Close	T3-3048	0-10	Week-46	5	386		4	10		11	4	3	2
11/17/2021	Simcard issue	11/17/2021	S0006	Retain	FCR		Nov	11/10/2021	S0006-11		Close	T3-3049	0-10	Week-46	5	134		4	23		11	4	3	2
12/11/2021	Data Speed Issue	12/11/2021	S0006	Retain	FCR		Dec	12/10/2021	S0006-12		Close	T3-3050	> 60	Week-50	1	277		3	12		12	4	85	4
3/16/2021	Data Speed Issue	3/16/2021	S0006	Retain	FCR		Mar	3/15/2021	S0006-3		Close	T3-3053	> 60	Week-12	2	457		3	11		3	4	141	4
5/15/2021	DND service related	5/15/2021	S0006	Retain	FCR		May	5/14/2021	S0006-5		Close	T3-3054	20-Nov	Week-20	5	532		5	12		5	5	19	5
6/14/2021	Data Speed Issue	6/14/2021	S0006	Retain	FCR		Jun	6/13/2021	S0006-6		Close	T3-3055	> 60	Week-25	0	528		3	19		6	4	137	4
8/13/2021	NW Fluctuation	8/13/2021	S0006	Retain	FCR		Aug	8/12/2021	S0006-8		Close	T3-3056	> 60	Week-33	1	227		3	18		8	5	88	3
9/12/2021	NW Fluctuation	9/12/2021	S0006	Retain	FCR		Sep	9/11/2021	S0006-9		Close	T3-3057	30-40	Week-37	3	508		4	19		9	5	35	5
11/13/2021	Data Speed Issue	11/13/2021	S0007	Retain	FCR		Nov	11/12/2021	S0007-11		Close	T3-3058	50-60	Week-46	2	473		2	21		11	4	54	0
12/13/2021	DND service related	12/13/2021	S0007	Retain	FCR		Dec	12/12/2021	S0007-12		Close	T3-3060	> 60	Week-51	3	462		3	18		12	5	104	0
12/16/2021	Data Speed Issue	12/16/2021	S0007	Retain	FCR		Dec	12/12/2021	S0007-12		Close	T3-3059	> 60	Week-51	1	564		3	22		12	5	104	4
2/16/2021	Bill Related Query	2/16/2021	S0007	Retain	FCR		Feb	2/15/2021	S0007-2		Close	T3-3061	> 60	Week-8	2	424		3	6		2	4	74	3
3/18/2021	Data Speed Issue	3/18/2021	S0007	Retain	FCR		Mar	3/17/2021	S0007-3		Close	T3-3063	> 60	Week-12	3	684		4	18		3	5	135	3
3/21/2021	Bill Related Query	3/21/2021	S0007	Retain	FCR		Mar	3/17/2021	S0007-3		Close	T3-3062	> 60	Week-12	3	430		2	10		3	4	135	0
4/17/2021	Bill Related Query	4/17/2021	S0007	Retain	FCR		Apr	4/16/2021	S0007-4		Close	T3-3064	> 60	Week-16	3	792		4	21		4	4	82	5
5/17/2021	Bill Related Query	5/17/2021	S0007	Retain	FCR		May	5/16/2021	S0007-5		Close	T3-3065	> 60	Week-21	1	586		3	20		5	4	120	5
8/18/2021	Data Speed Issue	8/18/2021	S0007	Retain	FCR		Aug	8/14/2021	S0007-8		Close	T3-3066	> 60	Week-33	0	279		3	21		8	5	121	4
9/14/2021	NW Fluctuation	9/14/2021	S0007	Retain	FCR		Sep	9/13/2021	S0007-9		Close	T3-3067	> 60	Week-38	3	512		4	16		9	4	76	5
12/20/2021	Coverage Issue	12/20/2021	S0008	Retain	FCR		Dec	12/19/2021	S0008-12		Close	T3-3068	> 60	Week-52	1	605		2	15		12	4	71	0
3/28/2021	Call Quality	3/28/2021	S0008	Retain	FCR		Mar	3/24/2021	S0008-3		Close	T3-3069	50-60	Week-13	2	384		4	17		3	5	54	5
4/24/2021	Coverage Issue	4/24/2021	S0008	Retain	FCR		Apr	4/23/2021	S0008-4		Close	T3-3070	> 60	Week-17	0	432		2	16		4	5	101	1
5/24/2021	Call Quality	5/24/2021	S0008	Retain	FCR		May	5/23/2021	S0008-5		Close	T3-3071	> 60	Week-22	3	620		3	12		5	5	89	2
6/23/2021	NW Fluctuation	6/23/2021	S0008	Retain	FCR		Jun	6/22/2021	S0008-6		Close	T3-3073	> 60	Week-26	3	829		4	15		6	5	102	4
6/26/2021	Call Quality	6/26/2021	S0008	Retain	FCR		Jun	6/22/2021	S0008-6		Close	T3-3072	> 60	Week-26	3	407		4	11		6	5	102	5
9/27/2021	Call Quality	9/27/2021	S0008	Retain	FCR		Sep	9/20/2021	S0008-9		Close	T3-3074	> 60	Week-39	0	162		3	16		9	5	131	4
1/26/2021	Internet Not Working/Mobile setting	1/26/2021	S0009	Retain	FCR		Jan	1/19/2021	S0009-1		Close	T3-3080	40-50	Week-4	3	559		2	14		1	4	44	0
10/17/2021	Data Speed Issue	10/17/2021	S0009	Retain	FCR		Oct	10/16/2021	S0009-10		Close	T3-3075	> 60	Week-42	1	669		2	16		10	5	63	1
11/16/2021	Internet Not Working/Mobile setting	11/16/2021	S0009	Retain	FCR		Nov	11/15/2021	S0009-11		Close	T3-3077	> 60	Week-47	3	134		4	21		11	5	72	4
11/19/2021	Msg related	11/19/2021	S0009	Retain	FCR		Nov	11/15/2021	S0009-11		Close	T3-3078	> 60	Week-47	2	540		3	8		11	4	72	4
11/22/2021	Call Quality	11/22/2021	S0009	Retain	FCR		Nov	11/15/2021	S0009-11		Close	T3-3076	> 60	Week-47	2	463		3	15		11	4	72	4
12/16/2021	Data Speed Issue	12/16/2021	S0009	Retain	FCR		Dec	12/15/2021	S0009-12		Close	T3-3079	20-Nov	Week-51	5	536		5	18		12	4	15	5
3/21/2021	DND service related	3/21/2021	S0009	Retain	FCR		Mar	3/20/2021	S0009-3		Close	T3-3082	> 60	Week-12	3	834		4	21		3	4	80	4
3/24/2021	Call Quality	3/24/2021	S0009	Retain	FCR		Mar	3/20/2021	S0009-3		Close	T3-3081	> 60	Week-12	1	245		3	2		3	4	80	4
4/26/2021	Volte related Issue	4/26/2021	S0009	Retain	FCR		Apr	4/19/2021	S0009-4		Close	T3-3083	> 60	Week-17	2	638		4	19		4	5	148	5
5/20/2021	Data Speed Issue	5/20/2021	S0009	Retain	FCR		May	5/19/2021	S0009-5		Close	T3-3085	40-50	Week-21	3	633		4	22		5	4	47	4
5/23/2021	Call Quality	5/23/2021	S0009	Retain	FCR		May	5/19/2021	S0009-5		Close	T3-3084	40-50	Week-21	3	400		4	22		5	4	47	4
6/19/2021	NW Fluctuation	6/19/2021	S0009	Retain	FCR		Jun	6/18/2021	S0009-6		Close	T3-3087	> 60	Week-25	0	371		2	4		6	4	103	3
6/22/2021	Call Quality	6/22/2021	S0009	Retain	FCR		Jun	6/18/2021	S0009-6		Close	T3-3086	> 60	Week-25	1	288		4	10		6	5	103	5
7/19/2021	NW Fluctuation	7/19/2021	S0009	Retain	FCR		Jul	7/18/2021	S0009-7		Close	T3-3088	30-40	Week-30	3	873		4	3		7	5	33	5
8/18/2021	Data Speed Issue	8/18/2021	S0009	Retain	FCR		Aug	8/17/2021	S0009-8		Close	T3-3090	> 60	Week-34	2	531		4	15		8	5	87	5
8/21/2021	NW Fluctuation	8/21/2021	S0009	Retain	FCR		Aug	8/17/2021	S0009-8		Close	T3-3091	> 60	Week-34	1	324		4	12		8	5	87	5
8/24/2021	Bill Related Query	8/24/2021	S0009	Retain	FCR		Aug	8/17/2021	S0009-8		Close	T3-3089	> 60	Week-34	1	485		2	12		8	4	87	1
9/17/2021	Data Speed Issue	9/17/2021	S0009	Retain	FCR		Sep	9/16/2021	S0009-9		Close	T3-3092	> 60	Week-38	3	496		4	11		9	4	81	4
10/21/2021	Simcard issue	10/21/2021	S0010	Retain	FCR		Oct	10/20/2021	S0010-10		Close	T3-3093	> 60	Week-43	3	316		4	13		10	4	87	5
11/20/2021	Simcard issue	11/20/2021	S0010	Retain	FCR		Nov	11/19/2021	S0010-11		Close	T3-3095	> 60	Week-47	2	408		3	20		11	5	117	1
11/23/2021	Msg related	11/23/2021	S0010	Retain	FCR		Nov	11/19/2021	S0010-11		Close	T3-3094	> 60	Week-47	2	571		4	0		11	5	117	4
3/25/2021	DND service related	3/25/2021	S0010	Retain	FCR		Mar	3/24/2021	S0010-3		Close	T3-3096	> 60	Week-13	2	739		4	20		3	5	67	4
4/27/2021	Internet Not Working/Mobile setting	4/27/2021	S0010	Retain	FCR		Apr	4/23/2021	S0010-4		Close	T3-3097	> 60	Week-17	0	486		1	15		4	4	97	0
6/23/2021	NW Fluctuation	6/23/2021	S0010	Retain	FCR		Jun	6/22/2021	S0010-6		Close	T3-3099	40-50	Week-26	3	823		4	2		6	5	48	3
6/29/2021	Internet Not Working/Mobile setting	6/29/2021	S0010	Retain	FCR		Jun	6/22/2021	S0010-6		Close	T3-3098	40-50	Week-26	3	726		3	10		6	4	48	2
8/22/2021	NW Fluctuation	8/22/2021	S0010	Retain	FCR		Aug	8/21/2021	S0010-8		Close	T3-3100	> 60	Week-34	0	424		2	4		8	5	94	1
10/14/2021	Msg related	10/14/2021	S0012	Retain	FCR		Oct	10/13/2021	S0012-10		Close	T3-3103	> 60	Week-42	3	575		4	5		10	5	104	5
10/17/2021	Data Speed Issue	10/17/2021	S0012	Retain	FCR		Oct	10/13/2021	S0012-10		Close	T3-3102	> 60	Week-42	0	246		2	19		10	4	104	2
10/20/2021	Call Quality	10/20/2021	S0012	Retain	FCR		Oct	10/13/2021	S0012-10		Close	T3-3101	> 60	Week-42	1	418		3	16		10	4	104	4
11/13/2021	DND service related	11/13/2021	S0012	Retain	FCR		Nov	11/12/2021	S0012-11		Close	T3-3104	21-30	Week-46	4	808		5	10		11	5	24	5
12/13/2021	Handset related	12/13/2021	S0012	Retain	FCR		Dec	12/12/2021	S0012-12		Close	T3-3106	> 60	Week-51	3	352		3	16		12	5	81	2
12/16/2021	Data Speed Issue	12/16/2021	S0012	Retain	FCR		Dec	12/12/2021	S0012-12		Close	T3-3105	> 60	Week-51	2	376		3	15		12	5	81	2
2/16/2021	Bill Related Query	2/16/2021	S0012	Retain	FCR		Feb	2/15/2021	S0012-2		Close	T3-3107	> 60	Week-8	0	674		2	15		2	4	98	2
2/19/2021	Call Quality	2/19/2021	S0012	Retain	FCR		Feb	2/15/2021	S0012-2		Close	T3-3108	> 60	Week-8	2	281		4	2		2	5	98	5
3/18/2021	Data Speed Issue	3/18/2021	S0012	Retain	FCR		Mar	3/17/2021	S0012-3		Close	T3-3111	50-60	Week-12	2	855		4	15		3	5	59	4
3/21/2021	Bill Related Query	3/21/2021	S0012	Retain	FCR		Mar	3/17/2021	S0012-3		Close	T3-3109	50-60	Week-12	2	597		4	20		3	4	59	5
3/24/2021	Call Quality	3/24/2021	S0012	Retain	FCR		Mar	3/17/2021	S0012-3		Close	T3-3110	50-60	Week-12	2	736		4	9		3	5	59	5
4/17/2021	Data Speed Issue	4/17/2021	S0012	Retain	FCR		Apr	4/16/2021	S0012-4		Close	T3-3112	> 60	Week-16	1	424		3	2		4	4	126	5
5/17/2021	Bill Related Query	5/17/2021	S0012	Retain	FCR		May	5/16/2021	S0012-5		Close	T3-3113	> 60	Week-21	0	790		3	19		5	4	149	5
5/20/2021	Data Speed Issue	5/20/2021	S0012	Retain	FCR		May	5/16/2021	S0012-5		Close	T3-3115	> 60	Week-21	2	457		4	18		5	5	149	5
5/23/2021	Call Quality	5/23/2021	S0012	Retain	FCR		May	5/16/2021	S0012-5		Close	T3-3114	> 60	Week-21	0	402		2	15		5	4	149	2
6/16/2021	NW Fluctuation	6/16/2021	S0012	Retain	FCR		Jun	6/15/2021	S0012-6		Close	T3-3116	> 60	Week-25	3	856		4	16		6	5	133	4
8/15/2021	NW Fluctuation	8/15/2021	S0012	Retain	FCR		Aug	8/14/2021	S0012-8		Close	T3-3117	> 60	Week-33	1	215		3	12		8	4	61	4
9/17/2021	Data Speed Issue	9/17/2021	S0012	Retain	FCR		Sep	9/13/2021	S0012-9		Close	T3-3118	> 60	Week-38	1	187		3	20		9	4	145	4
1/10/2021	Handset related	1/10/2021	S0014	Retain	FCR		Jan	1/9/2021	S0014-1		Close	T3-3123	> 60	Week-2	0	791		3	13		1	4	80	5
1/13/2021	Data Speed Issue	1/13/2021	S0014	Retain	FCR		Jan	1/9/2021	S0014-1		Close	T3-3122	> 60	Week-2	2	294		2	12		1	5	80	0
1/17/2021	Bill Related Query	1/16/2021	S0014	Retain	No FCR		Jan	1/9/2021	S0014-1	Customer Profile detail issue	Close	T3-3121	> 60	Week-2	3	213		2	6		1	1	80	2
10/13/2021	Bill Related Query	10/13/2021	S0014	Retain	FCR		Oct	10/6/2021	S0014-10		Close	T3-3119	40-50	Week-41	3	619		4	23		10	5	48	4
12/6/2021	Data Speed Issue	12/6/2021	S0014	Retain	FCR		Dec	12/5/2021	S0014-12		Close	T3-3120	40-50	Week-50	3	624		4	4		12	5	49	4
2/9/2021	Data Speed Issue	2/9/2021	S0014	Retain	FCR		Feb	2/8/2021	S0014-2		Close	T3-3125	20-Nov	Week-7	5	554		4	19		2	4	18	3
2/12/2021	Call Quality	2/12/2021	S0014	Retain	FCR		Feb	2/8/2021	S0014-2		Close	T3-3124	20-Nov	Week-7	5	733		4	13		2	4	18	3
3/14/2021	Call Quality	3/14/2021	S0014	Retain	FCR		Mar	3/10/2021	S0014-3		Close	T3-3126	> 60	Week-11	0	555		3	17		3	4	149	5
4/13/2021	Call Quality	4/13/2021	S0014	Retain	FCR		Apr	4/9/2021	S0014-4		Close	T3-3127	30-40	Week-15	3	472		2	14		4	4	37	0
5/10/2021	Data Speed Issue	5/10/2021	S0014	Retain	FCR		May	5/9/2021	S0014-5		Close	T3-3128	> 60	Week-20	2	528		3	20		5	5	62	2
6/9/2021	Data Speed Issue	6/9/2021	S0014	Retain	FCR		Jun	6/8/2021	S0014-6		Close	T3-3129	> 60	Week-24	2	318		3	12		6	4	134	3
7/9/2021	NW Fluctuation	7/9/2021	S0014	Retain	FCR		Jul	7/8/2021	S0014-7		Close	T3-3130	> 60	Week-28	1	252		4	15		7	5	102	5
8/8/2021	Internet Not Working/Mobile setting	8/8/2021	S0014	Retain	FCR		Aug	8/7/2021	S0014-8		Close	T3-3131	> 60	Week-32	2	157		3	20		8	4	114	4
9/7/2021	NW Fluctuation	9/7/2021	S0014	Retain	FCR		Sep	9/6/2021	S0014-9		Close	T3-3132	21-30	Week-37	4	625		4	18		9	4	26	4
1/17/2021	Data Speed Issue	1/17/2021	S0015	Retain	FCR		Jan	1/16/2021	S0015-1		Close	T3-3133	0-10	Week-3	5	400		4	9		1	4	9	2
3/18/2021	Data Speed Issue	3/18/2021	S0015	Retain	FCR		Mar	3/17/2021	S0015-3		Close	T3-3135	> 60	Week-12	1	573		3	15		3	4	78	4
3/21/2021	DND service related	3/21/2021	S0015	Retain	FCR		Mar	3/17/2021	S0015-3		Close	T3-3136	> 60	Week-12	2	201		3	10		3	4	78	4
3/24/2021	Call Quality	3/24/2021	S0015	Retain	FCR		Mar	3/17/2021	S0015-3		Close	T3-3134	> 60	Week-12	1	863		4	18		3	5	78	5
5/17/2021	Handset related	5/17/2021	S0015	Retain	FCR		May	5/16/2021	S0015-5		Close	T3-3137	> 60	Week-21	2	131		2	18		5	4	134	1
6/16/2021	NW Fluctuation	6/16/2021	S0015	Retain	FCR		Jun	6/15/2021	S0015-6		Close	T3-3138	> 60	Week-25	0	261		2	14		6	5	67	0
7/16/2021	Simcard issue	7/16/2021	S0015	Retain	FCR		Jul	7/15/2021	S0015-7		Close	T3-3139	20-Nov	Week-29	5	699		3	12		7	5	17	0
8/18/2021	Data Speed Issue	8/18/2021	S0015	Retain	FCR		Aug	8/14/2021	S0015-8		Close	T3-3140	> 60	Week-33	1	274		3	23		8	5	65	2
9/17/2021	Data Speed Issue	9/17/2021	S0015	Retain	FCR		Sep	9/13/2021	S0015-9		Close	T3-3141	40-50	Week-38	3	559		4	17		9	4	43	4
1/8/2021	Data Speed Issue	1/8/2021	S0016	Retain	FCR		Jan	1/7/2021	S0016-1		Close	T3-3146	> 60	Week-2	3	716		4	23		1	4	146	4
10/5/2021	NW Fluctuation	10/5/2021	S0016	Retain	FCR		Oct	10/4/2021	S0016-10		Close	T3-3142	40-50	Week-41	3	160		4	18		10	4	42	5
11/4/2021	Handset related	11/4/2021	S0016	Retain	FCR		Nov	11/3/2021	S0016-11		Close	T3-3143	20-Nov	Week-45	5	281		5	13		11	5	17	5
12/4/2021	Call Quality	12/4/2021	S0016	Retain	FCR		Dec	12/3/2021	S0016-12		Close	T3-3144	> 60	Week-49	3	186		4	12		12	5	86	5
12/7/2021	Handset related	12/7/2021	S0016	Retain	FCR		Dec	12/3/2021	S0016-12		Close	T3-3145	> 60	Week-49	1	593		3	12		12	5	86	3
2/7/2021	Data Speed Issue	2/7/2021	S0016	Retain	FCR		Feb	2/6/2021	S0016-2		Close	T3-3147	40-50	Week-6	3	690		4	19		2	5	44	5
3/9/2021	Data Speed Issue	3/9/2021	S0016	Retain	FCR		Mar	3/8/2021	S0016-3		Close	T3-3148	20-Nov	Week-11	5	857		3	21		3	4	14	0
4/8/2021	Data Speed Issue	4/8/2021	S0016	Retain	FCR		Apr	4/7/2021	S0016-4		Close	T3-3149	> 60	Week-15	2	805		4	0		4	5	110	4
5/8/2021	Simcard issue	5/8/2021	S0016	Retain	FCR		May	5/7/2021	S0016-5		Close	T3-3151	0-10	Week-19	5	400		5	13		5	5	5	5
5/11/2021	Data Speed Issue	5/11/2021	S0016	Retain	FCR		May	5/7/2021	S0016-5		Close	T3-3150	0-10	Week-19	5	806		5	20		5	5	5	5
6/7/2021	NW Fluctuation	6/7/2021	S0016	Retain	FCR		Jun	6/6/2021	S0016-6		Close	T3-3152	30-40	Week-24	3	389		4	10		6	4	37	4
7/7/2021	Call Quality	7/7/2021	S0016	Retain	FCR		Jul	7/6/2021	S0016-7		Close	T3-3153	> 60	Week-28	3	648		4	11		7	4	113	4
8/6/2021	Data Speed Issue	8/6/2021	S0016	Retain	FCR		Aug	8/5/2021	S0016-8		Close	T3-3154	40-50	Week-32	3	730		3	22		8	5	42	2
1/7/2021	NW Fluctuation	1/7/2021	S0017	Churn	FCR	7/5/2021	Jan	1/6/2021	S0017-1		Close	T3-3156	0-10	Week-2	5	693	179	5	9	180	1	4	8	5
1/11/2021	Data Speed Issue	1/10/2021	S0017	Churn	No FCR	7/5/2021	Jan	1/6/2021	S0017-1	New site already plan onair in 150 days	Close	T3-3155	0-10	Week-2	5	518	176	3	11	180	1	1	8	2
4/7/2021	NW Fluctuation	4/7/2021	S0017	Churn	FCR	7/5/2021	Apr	4/6/2021	S0017-4		Close	T3-3158	> 60	Week-15	3	392	89	4	11	180	4	4	135	5
4/10/2021	Volte related Issue	4/10/2021	S0017	Churn	FCR	7/5/2021	Apr	4/6/2021	S0017-4		Close	T3-3159	> 60	Week-15	0	282	86	3	9	180	4	5	135	4
4/13/2021	Call Quality	4/13/2021	S0017	Churn	FCR	7/5/2021	Apr	4/6/2021	S0017-4		Close	T3-3157	> 60	Week-15	0	341	83	3	21	180	4	5	135	4
5/7/2021	Call Quality	5/7/2021	S0017	Churn	FCR	7/5/2021	May	5/6/2021	S0017-5		Close	T3-3160	30-40	Week-19	3	752	59	4	18	180	5	5	33	4
5/11/2021	Data Speed Issue	5/10/2021	S0017	Churn	No FCR	7/5/2021	May	5/6/2021	S0017-5	New site already plan onair in 150 days	Close	T3-3161	30-40	Week-19	3	418	56	2	4	180	5	0	33	2
6/12/2021	Call Quality	6/12/2021	S0017	Churn	FCR	7/5/2021	Jun	6/5/2021	S0017-6		Close	T3-3162	> 60	Week-23	1	394	23	3	21	180	6	5	82	4
11/7/2021	NW Fluctuation	11/7/2021	S0018	Retain	FCR		Nov	11/6/2021	S0018-11		Close	T3-3163	> 60	Week-45	2	201		4	14		11	4	114	5
2/10/2021	Call Quality	2/10/2021	S0018	Retain	FCR		Feb	2/9/2021	S0018-2		Close	T3-3164	> 60	Week-7	3	333		3	17		2	4	148	1
3/12/2021	Volte related Issue	3/12/2021	S0018	Retain	FCR		Mar	3/11/2021	S0018-3		Close	T3-3165	30-40	Week-11	3	462		4	21		3	5	34	3
4/11/2021	Call Quality	4/11/2021	S0018	Retain	FCR		Apr	4/10/2021	S0018-4		Close	T3-3166	21-30	Week-15	4	818		5	12		4	5	23	5
5/11/2021	Call Quality	5/11/2021	S0018	Retain	FCR		May	5/10/2021	S0018-5		Close	T3-3167	40-50	Week-20	3	292		3	15		5	4	46	2
5/14/2021	NW Fluctuation	5/14/2021	S0018	Retain	FCR		May	5/10/2021	S0018-5		Close	T3-3168	40-50	Week-20	3	848		3	2		5	4	46	3
6/10/2021	NW Fluctuation	6/10/2021	S0018	Retain	FCR		Jun	6/9/2021	S0018-6		Close	T3-3169	> 60	Week-24	1	313		3	1		6	4	62	5
7/10/2021	NW Fluctuation	7/10/2021	S0018	Retain	FCR		Jul	7/9/2021	S0018-7		Close	T3-3170	> 60	Week-28	0	274		3	14		7	5	122	4
8/9/2021	NW Fluctuation	8/9/2021	S0018	Retain	FCR		Aug	8/8/2021	S0018-8		Close	T3-3171	> 60	Week-33	1	681		3	11		8	5	66	3
