Customer Category	Customer Id	Data Utilization	Date	Gender	Month Name	Region	Services	State	Week	Age	Call Quality	Capacity	Data traffic	Employee cost	Maintanace cost	Marketing Cost	Nw availability	Packet loss	Plan	Thpt	Total Cost	Utilization	Utilization data
Retain	S0006	< 90 % Utilize	2/13/2021	Male	Feb	South	"text,voice,data,Video"	Andhra Pradesh	Week-7	20	1	75	58	99	81	90	91.37	0.86	299	2271.78	270	78	77.33
Retain	S0006	< 90 % Utilize	3/15/2021	Male	Mar	South	"text,voice,data,Video"	Andhra Pradesh	Week-12	20	0	75	56	62	90	68	92.97	0	299	4477.78	220	79.5	74.67
Retain	S0006	< 90 % Utilize	4/14/2021	Male	Apr	South	"text,voice,data,Video"	Andhra Pradesh	Week-16	20	1	75	55	83	57	54	90.49	0.75	299	1980.52	194	72.5	73.33
Retain	S0006	< 90 % Utilize	5/14/2021	Male	May	South	"text,voice,data,Video"	Andhra Pradesh	Week-20	20	2	75	60	93	67	65	94.71	1.7	299	2245.46	225	81	80.00
Retain	S0006	> 90% Utilize	6/13/2021	Male	Jun	South	"text,voice,data,Video"	Andhra Pradesh	Week-25	20	1	75	70	64	54	90	91.75	0.53	299	2214.64	208	85.5	93.33
Retain	S0006	< 90 % Utilize	7/13/2021	Male	Jul	South	"text,voice,data,Video"	Andhra Pradesh	Week-29	20	1	75	56	90	70	75	96.59	0.87	299	4144.49	235	73	74.67
Retain	S0006	< 90 % Utilize	8/12/2021	Male	Aug	South	"text,voice,data,Video"	Andhra Pradesh	Week-33	20	1	75	61	71	60	94	91.77	0.85	299	2649.25	225	73.33	81.33
Retain	S0006	< 90 % Utilize	9/11/2021	Male	Sep	South	"text,voice,data,Video"	Andhra Pradesh	Week-37	20	2	75	61	48	93	72	94.43	1.33	299	1832.36	213	75	81.33
Retain	S0006	< 90 % Utilize	10/11/2021	Male	Oct	South	"text,voice,data,Video"	Andhra Pradesh	Week-42	20	3	75	61	58	50	98	91.99	3	299	2425.72	206	70.67	81.33
Retain	S0006	< 90 % Utilize	11/10/2021	Male	Nov	South	"text,voice,data,Video"	Andhra Pradesh	Week-46	20	3	75	55	94	46	64	93.43	2.37	299	1905.2	204	65.33	73.33
Retain	S0006	> 90% Utilize	12/10/2021	Male	Dec	South	"text,voice,data,Video"	Andhra Pradesh	Week-50	20	0	75	69	84	99	50	93.42	0	299	2294.48	233	81.33	92.00
Retain	S0007	> 90% Utilize	1/16/2021	Female	Jan	South	"Voice,Data"	Andhra Pradesh	Week-3	28	2	105	103	63	78	64	92.42	1.76	399	1581.56	205	64.17	98.10
Retain	S0007	> 90% Utilize	2/15/2021	Female	Feb	South	"Voice,Data"	Andhra Pradesh	Week-8	28	1	105	98	63	60	93	92.3	0.41	399	2683.54	216	66	93.33
Retain	S0007	> 90% Utilize	3/17/2021	Female	Mar	South	"Voice,Data"	Andhra Pradesh	Week-12	28	3	105	105	93	72	58	96.55	2.34	399	1764.23	223	65.33	100.00
Retain	S0007	> 90% Utilize	4/16/2021	Female	Apr	South	"Voice,Data"	Andhra Pradesh	Week-16	28	2	105	105	92	48	58	93.53	1.31	399	1519.76	198	65.43	100.00
Retain	S0007	> 90% Utilize	5/16/2021	Female	May	South	"Voice,Data"	Andhra Pradesh	Week-21	28	1	105	96	76	54	77	89.61	0.48	399	2576.39	207	63.71	91.43
Retain	S0007	> 90% Utilize	6/15/2021	Female	Jun	South	"Voice,Data"	Andhra Pradesh	Week-25	28	3	105	103	68	52	67	96.41	2.34	399	1933.28	187	63	98.10
Retain	S0007	< 90 % Utilize	7/15/2021	Female	Jul	South	"Voice,Data"	Andhra Pradesh	Week-29	28	0	105	88	64	97	91	96.64	0	399	3123.72	252	70.17	83.81
Retain	S0007	> 90% Utilize	8/14/2021	Female	Aug	South	"Voice,Data"	Andhra Pradesh	Week-33	28	2	105	100	49	99	68	88.74	1.67	399	1138.63	216	68.83	95.24
Retain	S0007	> 90% Utilize	9/13/2021	Female	Sep	South	"Voice,Data"	Andhra Pradesh	Week-38	28	1	105	98	90	64	77	88.46	1	399	2410.3	231	66.8	93.33
Retain	S0007	< 90 % Utilize	10/13/2021	Female	Oct	South	"Voice,Data"	Andhra Pradesh	Week-42	28	3	105	88	75	54	88	93.61	2.73	399	1918.33	217	61.33	83.81
Retain	S0007	< 90 % Utilize	11/12/2021	Female	Nov	South	"Voice,Data"	Andhra Pradesh	Week-46	28	1	105	93	67	92	86	91.73	0.79	399	2309.18	245	57	88.57
Retain	S0007	> 90% Utilize	12/12/2021	Female	Dec	South	"Voice,Data"	Andhra Pradesh	Week-51	28	3	105	102	83	50	83	96.65	2.61	399	1603.25	216	65.5	97.14
Retain	S0008	< 90 % Utilize	1/23/2021	Male	Jan	South	"Voice,Data"	Andhra Pradesh	Week-4	25	1	45	40	80	96	74	95.5	0.61	199	2029.65	250	56	88.89
Retain	S0008	< 90 % Utilize	2/22/2021	Male	Feb	South	"Voice,Data"	Andhra Pradesh	Week-9	25	0	45	38	77	45	69	90.39	0	199	4410.55	191	51.5	84.44
Retain	S0008	> 90% Utilize	3/24/2021	Male	Mar	South	"Voice,Data"	Andhra Pradesh	Week-13	25	2	45	41	72	41	77	91.39	1.9	199	924.43	190	48.5	91.11
Retain	S0008	< 90 % Utilize	4/23/2021	Male	Apr	South	"Voice,Data"	Andhra Pradesh	Week-17	25	2	45	29	42	94	79	93.55	1.66	199	1751.75	215	45.5	64.44
Retain	S0008	< 90 % Utilize	5/23/2021	Male	May	South	"Voice,Data"	Andhra Pradesh	Week-22	25	3	45	32	90	58	52	92.75	2.49	199	2575.59	200	47.5	71.11
Retain	S0008	< 90 % Utilize	6/22/2021	Male	Jun	South	"Voice,Data"	Andhra Pradesh	Week-26	25	3	45	34	47	58	87	88.65	2.32	199	2291.54	192	48	75.56
Retain	S0008	< 90 % Utilize	7/22/2021	Male	Jul	South	"Voice,Data"	Andhra Pradesh	Week-30	25	0	45	29	46	48	96	89.76	0	199	4471.28	190	51	64.44
Retain	S0008	< 90 % Utilize	8/21/2021	Male	Aug	South	"Voice,Data"	Andhra Pradesh	Week-34	25	2	45	38	62	55	79	84.76	1.5	199	1726.47	196	54.5	84.44
Retain	S0008	> 90% Utilize	9/20/2021	Male	Sep	South	"Voice,Data"	Andhra Pradesh	Week-39	25	2	45	42	90	90	55	89.59	1.67	199	1483.68	235	56	93.33
Retain	S0008	< 90 % Utilize	10/20/2021	Male	Oct	South	"Voice,Data"	Andhra Pradesh	Week-43	25	0	45	29	41	89	52	97.81	0	199	4601.31	182	44.5	64.44
Retain	S0008	< 90 % Utilize	11/19/2021	Male	Nov	South	"Voice,Data"	Andhra Pradesh	Week-47	25	0	45	37	98	72	64	89.53	0	199	4068.83	234	41.33	82.22
Retain	S0008	< 90 % Utilize	12/19/2021	Male	Dec	South	"Voice,Data"	Andhra Pradesh	Week-52	25	3	45	38	67	64	83	96.99	2.75	199	2189.53	214	48.67	84.44
Retain	S0009	> 90% Utilize	1/19/2021	Female	Jan	South	"Voice,Data"	Andhra Pradesh	Week-4	38	2	105	103	60	69	95	92.34	1.33	399	1466.86	224	56	98.10
Retain	S0009	> 90% Utilize	2/18/2021	Female	Feb	South	"Voice,Data"	Andhra Pradesh	Week-8	38	1	105	103	62	79	78	97.42	0.37	399	2273.51	219	58.75	98.10
Retain	S0009	< 90 % Utilize	3/20/2021	Female	Mar	South	"Voice,Data"	Andhra Pradesh	Week-12	38	2	105	92	93	47	100	95.54	1.81	399	1647.71	240	51	87.62
Retain	S0009	> 90% Utilize	4/19/2021	Female	Apr	South	"Voice,Data"	Andhra Pradesh	Week-17	38	2	105	99	58	43	74	93.94	1.33	399	981.58	175	60	94.29
Retain	S0009	< 90 % Utilize	5/19/2021	Female	May	South	"Voice,Data"	Andhra Pradesh	Week-21	38	3	105	88	97	95	51	91.77	2.41	399	2659.6	243	54.5	83.81
Retain	S0009	< 90 % Utilize	6/18/2021	Female	Jun	South	"Voice,Data"	Andhra Pradesh	Week-25	38	2	105	90	42	50	74	95.78	1.77	399	1554.52	166	56.75	85.71
Retain	S0009	< 90 % Utilize	7/18/2021	Female	Jul	South	"Voice,Data"	Andhra Pradesh	Week-30	38	1	105	88	46	48	81	85.39	1	399	4375.9	175	52.25	83.81
Retain	S0009	> 90% Utilize	8/17/2021	Female	Aug	South	"Voice,Data"	Andhra Pradesh	Week-34	38	3	105	99	46	52	95	90.78	2.71	399	860.35	193	56	94.29
Retain	S0009	< 90 % Utilize	9/16/2021	Female	Sep	South	"Voice,Data"	Andhra Pradesh	Week-38	38	0	105	87	73	41	87	85.47	0	399	4393.33	201	57.8	82.86
Retain	S0009	> 90% Utilize	10/16/2021	Female	Oct	South	"Voice,Data"	Andhra Pradesh	Week-42	38	1	105	96	91	96	82	89.51	0.43	399	2580.79	269	74.5	91.43
Retain	S0009	< 90 % Utilize	11/15/2021	Female	Nov	South	"Voice,Data"	Andhra Pradesh	Week-47	38	2	105	92	43	49	91	90.75	2	399	1653.84	183	70.5	87.62
Retain	S0009	> 90% Utilize	12/15/2021	Female	Dec	South	"Voice,Data"	Andhra Pradesh	Week-51	38	1	105	104	47	65	54	93.8	0.85	399	2666.7	166	79	99.05
Retain	S0010	> 90% Utilize	1/23/2021	Female	Jan	South	"text,voice,data,Video"	Andhra Pradesh	Week-4	23	1	75	72	86	80	94	97.66	0.84	299	2437.52	260	56	96.00
Retain	S0010	< 90 % Utilize	2/22/2021	Female	Feb	South	"text,voice,data,Video"	Andhra Pradesh	Week-9	23	3	75	65	48	73	98	89.34	2.57	299	2529.23	219	51.5	86.67
Retain	S0010	< 90 % Utilize	3/24/2021	Female	Mar	South	"text,voice,data,Video"	Andhra Pradesh	Week-13	23	3	75	56	52	55	72	89.86	2.59	299	2269.74	179	48.5	74.67
Retain	S0010	< 90 % Utilize	4/23/2021	Female	Apr	South	"text,voice,data,Video"	Andhra Pradesh	Week-17	23	3	75	62	81	47	95	97.78	2.7	299	1639.44	223	45.5	82.67
Retain	S0010	< 90 % Utilize	5/23/2021	Female	May	South	"text,voice,data,Video"	Andhra Pradesh	Week-22	23	1	75	63	65	84	76	97.98	0.54	299	2322.48	225	47.5	84.00
Retain	S0010	< 90 % Utilize	6/22/2021	Female	Jun	South	"text,voice,data,Video"	Andhra Pradesh	Week-26	23	3	75	62	79	61	64	88.83	2.57	299	1835.48	204	48	82.67
Retain	S0010	> 90% Utilize	7/22/2021	Female	Jul	South	"text,voice,data,Video"	Andhra Pradesh	Week-30	23	1	75	73	72	59	91	94.42	0.76	299	2494.8	222	51	97.33
Retain	S0010	> 90% Utilize	8/21/2021	Female	Aug	South	"text,voice,data,Video"	Andhra Pradesh	Week-34	23	0	75	71	100	97	53	91.74	0	299	2298.82	250	54.5	94.67
Retain	S0010	> 90% Utilize	9/20/2021	Female	Sep	South	"text,voice,data,Video"	Andhra Pradesh	Week-39	23	2	75	70	58	91	96	89.41	1.68	299	1422.27	245	56	93.33
Retain	S0010	< 90 % Utilize	10/20/2021	Female	Oct	South	"text,voice,data,Video"	Andhra Pradesh	Week-43	23	0	75	60	81	55	74	91.34	0	299	4242.55	210	44.5	80.00
Retain	S0010	< 90 % Utilize	11/19/2021	Female	Nov	South	"text,voice,data,Video"	Andhra Pradesh	Week-47	23	1	75	55	67	48	71	92.87	0.82	299	1866.22	186	41.33	73.33
Retain	S0010	< 90 % Utilize	12/19/2021	Female	Dec	South	"text,voice,data,Video"	Andhra Pradesh	Week-52	23	0	75	63	47	57	53	98.91	0	299	4379.89	157	48.67	84.00
Retain	S0011	< 90 % Utilize	1/19/2021	Female	Jan	South	"Voice,Data"	Andhra Pradesh	Week-4	21	3	45	28	47	61	85	97.67	2.81	199	2353.83	193	56	62.22
Retain	S0011	> 90% Utilize	2/18/2021	Female	Feb	South	"Voice,Data"	Andhra Pradesh	Week-8	21	2	45	45	59	73	79	91.58	1.73	199	970.54	211	58.75	100.00
Retain	S0011	< 90 % Utilize	3/20/2021	Female	Mar	South	"Voice,Data"	Andhra Pradesh	Week-12	21	1	45	25	97	44	61	93.37	0.89	199	4145.52	202	51	55.56
Retain	S0011	> 90% Utilize	4/19/2021	Female	Apr	South	"Voice,Data"	Andhra Pradesh	Week-17	21	3	45	41	87	94	84	89.59	2.54	199	1363.5	265	60	91.11
Retain	S0011	< 90 % Utilize	5/19/2021	Female	May	South	"Voice,Data"	Andhra Pradesh	Week-21	21	1	45	33	54	59	67	92.89	0.69	199	1901.78	180	54.5	73.33
Retain	S0011	< 90 % Utilize	6/18/2021	Female	Jun	South	"Voice,Data"	Andhra Pradesh	Week-25	21	1	45	32	87	85	68	89.98	0.87	199	1930.36	240	56.75	71.11
Retain	S0011	< 90 % Utilize	7/18/2021	Female	Jul	South	"Voice,Data"	Andhra Pradesh	Week-30	21	3	45	29	78	64	74	87.85	2.36	199	2773.79	216	52.25	64.44
Retain	S0011	< 90 % Utilize	8/17/2021	Female	Aug	South	"Voice,Data"	Andhra Pradesh	Week-34	21	0	45	26	54	52	71	93.86	0	199	4158.69	177	56	57.78
Retain	S0011	> 90% Utilize	9/16/2021	Female	Sep	South	"Voice,Data"	Andhra Pradesh	Week-38	21	3	45	41	55	71	59	84.5	3	199	1364.34	185	57.8	91.11
Retain	S0011	< 90 % Utilize	10/16/2021	Female	Oct	South	"Voice,Data"	Andhra Pradesh	Week-42	21	1	45	29	67	67	80	95.82	0.42	199	2127.63	214	74.5	64.44
Retain	S0011	< 90 % Utilize	11/15/2021	Female	Nov	South	"Voice,Data"	Andhra Pradesh	Week-47	21	1	45	26	90	85	83	93.96	0.5	199	1909.39	258	70.5	57.78
Retain	S0011	< 90 % Utilize	12/15/2021	Female	Dec	South	"Voice,Data"	Andhra Pradesh	Week-51	21	1	45	34	82	96	59	91.43	0.79	199	2208.74	237	79	75.56
Retain	S0012	< 90 % Utilize	1/16/2021	Female	Jan	South	"text,voice,data,Video"	Andhra Pradesh	Week-3	35	2	150	135	88	63	56	92.69	1.62	599	1751.79	207	64.17	90.00
Retain	S0012	> 90% Utilize	2/15/2021	Female	Feb	South	"text,voice,data,Video"	Andhra Pradesh	Week-8	35	2	150	136	79	82	79	95.7	1.5	599	1839.32	240	66	90.67
Retain	S0012	> 90% Utilize	3/17/2021	Female	Mar	South	"text,voice,data,Video"	Andhra Pradesh	Week-12	35	3	150	146	54	83	80	92.65	2.47	599	1517.27	217	65.33	97.33
Retain	S0012	< 90 % Utilize	4/16/2021	Female	Apr	South	"text,voice,data,Video"	Andhra Pradesh	Week-16	35	1	150	133	91	57	67	89.77	0.69	599	2618.26	215	65.43	88.67
Retain	S0012	> 90% Utilize	5/16/2021	Female	May	South	"text,voice,data,Video"	Andhra Pradesh	Week-21	35	2	150	148	96	89	69	93.69	1.48	599	1191.2	254	63.71	98.67
Retain	S0012	> 90% Utilize	6/15/2021	Female	Jun	South	"text,voice,data,Video"	Andhra Pradesh	Week-25	35	1	150	144	62	65	96	85.99	0.66	599	2273.35	223	63	96.00
Retain	S0012	> 90% Utilize	7/15/2021	Female	Jul	South	"text,voice,data,Video"	Andhra Pradesh	Week-29	35	1	150	148	97	95	58	96.91	0.5	599	2616.63	250	70.17	98.67
Retain	S0012	> 90% Utilize	8/14/2021	Female	Aug	South	"text,voice,data,Video"	Andhra Pradesh	Week-33	35	1	150	147	92	61	91	87.84	0.49	599	2465.74	244	68.83	98.00
Retain	S0012	> 90% Utilize	9/13/2021	Female	Sep	South	"text,voice,data,Video"	Andhra Pradesh	Week-38	35	2	150	141	82	77	71	94.9	1.63	599	968.46	230	66.8	94.00
Retain	S0012	> 90% Utilize	10/13/2021	Female	Oct	South	"text,voice,data,Video"	Andhra Pradesh	Week-42	35	3	150	139	48	64	60	91.63	2.4	599	1498.87	172	61.33	92.67
Retain	S0012	< 90 % Utilize	11/12/2021	Female	Nov	South	"text,voice,data,Video"	Andhra Pradesh	Week-46	35	0	150	131	45	86	84	91.94	0	599	4245.52	215	57	87.33
Retain	S0012	< 90 % Utilize	12/12/2021	Female	Dec	South	"text,voice,data,Video"	Andhra Pradesh	Week-51	35	1	150	132	73	62	91	92.68	0.35	599	1922.62	226	65.5	88.00
