Account Type,Affiliated Account,Mdm Id (Hospital Name.csv),HCPs Count
HCO,The Mount Sinai Hospital,10020847,23
HCO,Rush University Medical Center,10009929,22
HCO,Massachusetts General Hospital,10011224,18
HCO,Vanderbilt University Medical Center,10009936,27
HCO,Beth Israel Deaconess Medical Center,10018796,25
HCO,UPMC Presbyterian & Shadyside,10009369,32
HCO,University of Colorado Hospital,10011322,22
HCO,Brigham And Women's Hospital,10018425,29
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10019748,28
HCO,"University of California, Davis Medical Center",10019454,57
HCO,Keck Hospital of USC,10018173,36
HCO,Emory University Hospital,10009362,32
HCO,University of Colorado Hospital,10019384,22
HCO,UT Southwestern Medical Center,10020021,28
HCO,Keck Hospital of USC,10019895,36
HCO,Mayo Clinic - Phoenix,10019643,26
HCO,Emory University Hospital,10020728,32
HCO,University of Kansas Hospital,10021328,26
HCO,Scripps La Jolla Hospitals,10019888,16
HCO,Scripps La Jolla Hospitals,10011105,16
HCO,Ronald Reagan UCLA Medical Center,10011539,18
HCO,Cleveland Clinic,10019517,23
HCO,Morristown Medical Center,10020833,29
HCO,Beth Israel Deaconess Medical Center,10018502,25
HCO,Tufts Medical Center,10021412,28
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10020861,18
HCO,The Johns Hopkins Hospital,10020273,30
HCO,NYU Langone Hospitals,10011917,12
HCO,University Hospitals Cleveland Medical Center,10010573,34
HCO,University of Colorado Hospital,10010944,22
HCO,UCSF Medical Center,10011154,26
HCO,Keck Hospital of USC,10019489,36
HCO,Ohio State University Wexner Medical Center,10019384,24
HCO,Keck Hospital of USC,10010055,36
HCO,UCSF Medical Center,10018621,26
HCO,Tufts Medical Center,10009782,28
HCO,Scripps La Jolla Hospitals,10019580,16
HCO,University Hospitals Cleveland Medical Center,10011189,34
HCO,Cleveland Clinic Fairview Hospital,10018677,32
HCO,Torrance Memorial Medical Center,10010195,24
HCO,Barnes-Jewish Hospital,10011917,24
HCO,UCLA Medical Center - Santa Monica ,10019132,36
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011336,28
HCO,Brigham And Women's Hospital,10021195,29
HCO,University of Kansas Hospital,10009684,26
HCO,UT Southwestern Medical Center,10018138,28
HCO,Baylor University Medical Center,10010832,27
HCO,University Hospitals Cleveland Medical Center,10021076,34
HCO,UAB Hospital,10010475,24
HCO,Mayo Clinic - Phoenix,10018369,26
HCO,University of Colorado Hospital,10009936,22
HCO,"University of California, Davis Medical Center",10019125,57
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10020301,28
HCO,Baylor University Medical Center,10019146,27
HCO,Beth Israel Deaconess Medical Center,10010104,25
HCO,Cedars-Sinai Medical Center,10019433,24
HCO,Cleveland Clinic Fairview Hospital,10019664,32
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10020658,28
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10018866,26
HCO,Barnes-Jewish Hospital,10011644,24
HCO,"University of California, Davis Medical Center",10020546,57
HCO,Barnes-Jewish Hospital,10009600,24
HCO,Rush University Medical Center,10020539,22
HCO,Brigham And Women's Hospital,10019076,29
HCO,University of Colorado Hospital,10009789,22
HCO,University of Michigan Hospitals - Michigan Medicine,10010321,23
HCO,University of Kansas Hospital,10011574,26
HCO,Northwestern Memorial Hospital,10018299,31
HCO,Scripps La Jolla Hospitals,10019489,16
HCO,Emory University Hospital,10009684,32
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10018943,28
HCO,Tufts Medical Center,10011749,28
HCO,Torrance Memorial Medical Center,10019643,24
HCO,"University of California, Davis Medical Center",10018551,57
HCO,Cedars-Sinai Medical Center,10009943,24
HCO,Ohio State University Wexner Medical Center,10010167,24
HCO,"University of California, Davis Medical Center",10018656,57
HCO,Torrance Memorial Medical Center,10011672,24
HCO,University of Michigan Hospitals - Michigan Medicine,10021118,23
HCO,UAB Hospital,10019594,24
HCO,University of Kansas Hospital,10010769,26
HCO,University Hospitals Cleveland Medical Center,10009593,34
HCO,The Mount Sinai Hospital,10009733,23
HCO,UCSF Medical Center,10011917,26
HCO,Emory University Hospital,10018439,32
HCO,Barnes-Jewish Hospital,10009299,24
HCO,Vanderbilt University Medical Center,10020784,27
HCO,Tufts Medical Center,10010909,28
HCO,University of Colorado Hospital,10010517,22
HCO,Mayo Clinic - Rochester,10019412,26
HCO,UPMC Presbyterian & Shadyside,10018754,32
HCO,Northwestern Memorial Hospital,10009691,31
HCO,Brigham And Women's Hospital,10020049,29
HCO,Cleveland Clinic Fairview Hospital,10019650,32
HCO,Massachusetts General Hospital,10011042,18
HCO,UCLA Medical Center - Santa Monica ,10020462,36
HCO,University Hospitals Cleveland Medical Center,10019272,34
HCO,"University of California, Davis Medical Center",10019825,57
HCO,"University of California, Davis Medical Center",10011518,57
HCO,Mayo Clinic - Rochester,10020420,26
HCO,UCLA Medical Center - Santa Monica ,10018943,36
HCO,Mayo Clinic - Rochester,10020672,26
HCO,Cedars-Sinai Medical Center,10010727,24
HCO,Vanderbilt University Medical Center,10020623,27
HCO,"University of California, Davis Medical Center",10011882,57
HCO,Tufts Medical Center,10010132,28
HCO,Morristown Medical Center,10011735,29
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011518,28
HCO,"University of California, Davis Medical Center",10018754,57
HCO,UCSF Medical Center,10019783,26
HCO,Scripps La Jolla Hospitals,10021300,16
HCO,Mayo Clinic - Rochester,10011553,26
HCO,Brigham And Women's Hospital,10009740,29
HCO,Northwestern Memorial Hospital,10019048,31
HCO,Duke University Hospital,10021405,27
HCO,Scripps La Jolla Hospitals,10018327,16
HCO,Vanderbilt University Medical Center,10010307,27
HCO,"University of California, Davis Medical Center",10010027,57
HCO,University of Kansas Hospital,10009656,26
HCO,UCLA Medical Center - Santa Monica ,10021111,36
HCO,Emory University Hospital,10019832,32
HCO,University of Kansas Hospital,10011889,26
HCO,Barnes-Jewish Hospital,10011952,24
HCO,Cleveland Clinic Fairview Hospital,10010867,32
HCO,Vanderbilt University Medical Center,10018649,27
HCO,Duke University Hospital,10020021,27
HCO,Tufts Medical Center,10011371,28
HCO,Ronald Reagan UCLA Medical Center,10019307,18
HCO,Cedars-Sinai Medical Center,10018516,24
HCO,Morristown Medical Center,10019664,29
HCO,Duke University Hospital,10009131,27
HCO,Morristown Medical Center,10011805,29
HCO,Tufts Medical Center,10011854,28
HCO,Rush University Medical Center,10011749,22
HCO,The Johns Hopkins Hospital,10009075,30
HCO,UAB Hospital,10009775,24
HCO,Tufts Medical Center,10019559,28
HCO,UPMC Presbyterian & Shadyside,10009894,32
HCO,Torrance Memorial Medical Center,10019748,24
HCO,University of Michigan Hospitals - Michigan Medicine,10010272,23
HCO,Duke University Hospital,10010888,27
HCO,Vanderbilt University Medical Center,10019783,27
HCO,Mayo Clinic - Rochester,10021349,26
HCO,Ohio State University Wexner Medical Center,10018432,24
HCO,University of Kansas Hospital,10018173,26
HCO,Mayo Clinic - Phoenix,10018922,26
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011861,18
HCO,UT Southwestern Medical Center,10018614,28
HCO,Cleveland Clinic Fairview Hospital,10010314,32
HCO,Brigham And Women's Hospital,10020343,29
HCO,Stanford Health Care-Stanford Hospital,10011042,22
HCO,UAB Hospital,10011175,24
HCO,UPMC Presbyterian & Shadyside,10010916,32
HCO,Ronald Reagan UCLA Medical Center,10011371,18
HCO,Morristown Medical Center,10018775,29
HCO,Cleveland Clinic Fairview Hospital,10011140,32
HCO,Mayo Clinic - Rochester,10009810,26
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011980,28
HCO,UCLA Medical Center - Santa Monica ,10010237,36
HCO,The Mount Sinai Hospital,10020455,23
HCO,Scripps La Jolla Hospitals,10020014,16
HCO,Beth Israel Deaconess Medical Center,10018740,25
HCO,Beth Israel Deaconess Medical Center,10018110,25
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10009593,28
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10010720,26
HCO,Cedars-Sinai Medical Center,10011070,24
HCO,UCSF Medical Center,10011945,26
HCO,Ronald Reagan UCLA Medical Center,10020350,18
HCO,Beth Israel Deaconess Medical Center,10010132,25
HCO,Keck Hospital of USC,10020280,36
HCO,UCLA Medical Center - Santa Monica ,10021146,36
HCO,Tufts Medical Center,10019664,28
HCO,Brigham And Women's Hospital,10020287,29
HCO,Morristown Medical Center,10011686,29
HCO,Cleveland Clinic Fairview Hospital,10011574,32
HCO,Cedars-Sinai Medical Center,10020056,24
HCO,UCSF Medical Center,10009404,26
HCO,University of Colorado Hospital,10009516,22
HCO,University of Wisconsin Hospitals,10020245,17
HCO,Massachusetts General Hospital,10010083,18
HCO,UPMC Presbyterian & Shadyside,10020854,32
HCO,UCLA Medical Center - Santa Monica ,10018719,36
HCO,UT Southwestern Medical Center,10009782,28
HCO,Scripps La Jolla Hospitals,10021111,16
HCO,Morristown Medical Center,10019559,29
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10021265,28
HCO,Northwestern Memorial Hospital,10018824,31
HCO,University of Kansas Hospital,10010391,26
HCO,Torrance Memorial Medical Center,10019622,24
HCO,Rush University Medical Center,10010909,22
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10019342,18
HCO,NYU Langone Hospitals,10019279,12
HCO,Torrance Memorial Medical Center,10021034,24
HCO,Scripps La Jolla Hospitals,10009180,16
HCO,The Mount Sinai Hospital,10018656,23
HCO,UCSF Medical Center,10018509,26
HCO,"University of California, Davis Medical Center",10019776,57
HCO,UAB Hospital,10010510,24
HCO,Emory University Hospital,10010440,32
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018943,18
HCO,Cleveland Clinic Fairview Hospital,10018579,32
HCO,Northwestern Memorial Hospital,10010965,31
HCO,Beth Israel Deaconess Medical Center,10010517,25
HCO,Duke University Hospital,10021405,27
HCO,Northwestern Memorial Hospital,10021412,31
HCO,Ronald Reagan UCLA Medical Center,10010958,18
HCO,Stanford Health Care-Stanford Hospital,10019237,22
HCO,UCSF Medical Center,10010237,26
HCO,University of Michigan Hospitals - Michigan Medicine,10019433,23
HCO,The Johns Hopkins Hospital,10018614,30
HCO,Baylor University Medical Center,10021377,27
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011854,28
HCO,Tufts Medical Center,10020308,28
HCO,The Johns Hopkins Hospital,10011133,30
HCO,Massachusetts General Hospital,10018390,18
HCO,Ohio State University Wexner Medical Center,10019125,24
HCO,Stanford Health Care-Stanford Hospital,10010923,22
HCO,UAB Hospital,10010174,24
HCO,"University of California, Davis Medical Center",10019636,57
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10020413,28
HCO,Ronald Reagan UCLA Medical Center,10019342,18
HCO,Morristown Medical Center,10020798,29
HCO,Beth Israel Deaconess Medical Center,10009649,25
HCO,UCLA Medical Center - Santa Monica ,10018572,36
HCO,Beth Israel Deaconess Medical Center,10011924,25
HCO,Mayo Clinic - Phoenix,10010202,26
HCO,UAB Hospital,10009285,24
HCO,Baylor University Medical Center,10010860,27
HCO,Ohio State University Wexner Medical Center,10010552,24
HCO,UCLA Medical Center - Santa Monica ,10018229,36
HCO,Morristown Medical Center,10019510,29
HCO,University of Colorado Hospital,10019587,22
HCO,Rush University Medical Center,10020602,22
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10011847,28
HCO,Mayo Clinic - Phoenix,10019846,26
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10012022,18
HCO,UCLA Medical Center - Santa Monica ,10018369,36
HCO,The Johns Hopkins Hospital,10021398,30
HCO,Keck Hospital of USC,10019468,36
HCO,UCSF Medical Center,10011994,26
HCO,Scripps La Jolla Hospitals,10020630,16
HCO,UT Southwestern Medical Center,10020833,28
HCO,Cedars-Sinai Medical Center,10011770,24
HCO,UT Southwestern Medical Center,10020280,28
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10018208,28
HCO,"University of California, Davis Medical Center",10020476,57
HCO,"University of California, Davis Medical Center",10009495,57
HCO,Cleveland Clinic Fairview Hospital,10019006,32
HCO,Massachusetts General Hospital,10019531,18
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10010482,28
HCO,NYU Langone Hospitals,10020441,12
HCO,Cleveland Clinic Fairview Hospital,10009383,32
HCO,Cedars-Sinai Medical Center,10020273,24
HCO,"University of California, Davis Medical Center",10011140,57
HCO,Mayo Clinic - Rochester,10020119,26
HCO,Scripps La Jolla Hospitals,10020357,16
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10020714,18
HCO,Keck Hospital of USC,10018215,36
HCO,Cleveland Clinic Fairview Hospital,10019125,32
HCO,UCLA Medical Center - Santa Monica ,10011588,36
HCO,Cleveland Clinic,10019188,23
HCO,"University of California, Davis Medical Center",10020301,57
HCO,Mayo Clinic - Phoenix,10019020,26
HCO,Rush University Medical Center,10009362,22
HCO,Tufts Medical Center,10011903,28
HCO,Massachusetts General Hospital,10019244,18
HCO,Cleveland Clinic Fairview Hospital,10011616,32
HCO,Barnes-Jewish Hospital,10018992,24
HCO,University of Kansas Hospital,10018425,26
HCO,Cleveland Clinic Fairview Hospital,10018726,32
HCO,University Hospitals Cleveland Medical Center,10018852,34
HCO,Massachusetts General Hospital,10009369,18
HCO,UT Southwestern Medical Center,10019713,28
HCO,Keck Hospital of USC,10011462,36
HCO,Keck Hospital of USC,10011560,36
HCO,The Johns Hopkins Hospital,10011679,30
HCO,Mayo Clinic - Phoenix,10009117,26
HCO,Torrance Memorial Medical Center,10011854,24
HCO,UCLA Medical Center - Santa Monica ,10019846,36
HCO,Mayo Clinic - Phoenix,10021062,26
HCO,"University of California, Davis Medical Center",10009740,57
HCO,University of Kansas Hospital,10011546,26
HCO,"University of California, Davis Medical Center",10011630,57
HCO,Massachusetts General Hospital,10011014,18
HCO,UPMC Presbyterian & Shadyside,10018586,32
HCO,Ohio State University Wexner Medical Center,10020525,24
HCO,Morristown Medical Center,10021349,29
HCO,Rush University Medical Center,10011301,22
HCO,Morristown Medical Center,10010636,29
HCO,Tufts Medical Center,10010433,28
HCO,The Johns Hopkins Hospital,10018348,30
HCO,Keck Hospital of USC,10019265,36
HCO,Cedars-Sinai Medical Center,10009551,24
HCO,Torrance Memorial Medical Center,10021370,24
HCO,Cleveland Clinic Fairview Hospital,10019293,32
HCO,University of Colorado Hospital,10021181,22
HCO,Torrance Memorial Medical Center,10009586,24
HCO,Cedars-Sinai Medical Center,10009831,24
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10009460,28
HCO,Northwestern Memorial Hospital,10010881,31
HCO,University of Wisconsin Hospitals,10018705,17
HCO,Keck Hospital of USC,10020007,36
HCO,UPMC Presbyterian & Shadyside,10019083,32
HCO,Northwestern Memorial Hospital,10011084,31
HCO,UT Southwestern Medical Center,10011182,28
HCO,Rush University Medical Center,10011756,22
HCO,UAB Hospital,10009446,24
HCO,UCSF Medical Center,10009362,26
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10020161,26
HCO,The Johns Hopkins Hospital,10011329,30
HCO,Northwestern Memorial Hospital,10018537,31
HCO,UCSF Medical Center,10010902,26
HCO,Vanderbilt University Medical Center,10011476,27
HCO,Vanderbilt University Medical Center,10010426,27
HCO,The Mount Sinai Hospital,10019930,23
HCO,UT Southwestern Medical Center,10012050,28
HCO,Keck Hospital of USC,10010713,36
HCO,University of Colorado Hospital,10010076,22
HCO,Brigham And Women's Hospital,10019853,29
HCO,Baylor University Medical Center,10009145,27
HCO,The Johns Hopkins Hospital,10009362,30
HCO,Mayo Clinic - Rochester,10018936,26
HCO,University of Wisconsin Hospitals,10018810,17
HCO,Mayo Clinic - Rochester,10020049,26
HCO,Brigham And Women's Hospital,10010902,29
HCO,Torrance Memorial Medical Center,10020049,24
HCO,Massachusetts General Hospital,10020658,18
HCO,Duke University Hospital,10010727,27
HCO,Baylor University Medical Center,10018642,27
HCO,UT Southwestern Medical Center,10020133,28
HCO,Morristown Medical Center,10011140,29
HCO,Cedars-Sinai Medical Center,10019069,24
HCO,The Johns Hopkins Hospital,10020014,30
HCO,Baylor University Medical Center,10011014,27
HCO,"University of California, Davis Medical Center",10018453,57
HCO,UPMC Presbyterian & Shadyside,10020798,32
HCO,Ronald Reagan UCLA Medical Center,10019055,18
HCO,Emory University Hospital,10021286,32
HCO,Keck Hospital of USC,10011945,36
HCO,Ohio State University Wexner Medical Center,10018950,24
HCO,Keck Hospital of USC,10010629,36
HCO,Cleveland Clinic,10020602,23
HCO,Cleveland Clinic,10020140,23
HCO,UT Southwestern Medical Center,10012029,28
HCO,Emory University Hospital,10009593,32
HCO,Tufts Medical Center,10011322,28
HCO,Ronald Reagan UCLA Medical Center,10010580,18
HCO,Ohio State University Wexner Medical Center,10020630,24
HCO,The Johns Hopkins Hospital,10019524,30
HCO,Cedars-Sinai Medical Center,10010433,24
HCO,Morristown Medical Center,10021097,29
HCO,Massachusetts General Hospital,10019195,18
HCO,Beth Israel Deaconess Medical Center,10009180,25
HCO,University of Wisconsin Hospitals,10011651,17
HCO,Beth Israel Deaconess Medical Center,10019433,25
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10010090,26
HCO,Vanderbilt University Medical Center,10011679,27
HCO,The Johns Hopkins Hospital,10009670,30
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10011483,26
HCO,Keck Hospital of USC,10021188,36
HCO,Cleveland Clinic Fairview Hospital,10011203,32
HCO,Beth Israel Deaconess Medical Center,10009117,25
HCO,UAB Hospital,10020798,24
HCO,Stanford Health Care-Stanford Hospital,10018810,22
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10019678,26
HCO,Cedars-Sinai Medical Center,10018761,24
HCO,Cleveland Clinic Fairview Hospital,10018950,32
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10009593,26
HCO,The Johns Hopkins Hospital,10018768,30
HCO,The Johns Hopkins Hospital,10009670,30
HCO,University of Michigan Hospitals - Michigan Medicine,10010972,23
HCO,Morristown Medical Center,10010699,29
HCO,Beth Israel Deaconess Medical Center,10009089,25
HCO,Tufts Medical Center,10018474,28
HCO,Stanford Health Care-Stanford Hospital,10020574,22
HCO,UPMC Presbyterian & Shadyside,10010853,32
HCO,UCSF Medical Center,10021412,26
HCO,The Johns Hopkins Hospital,10018901,30
HCO,UT Southwestern Medical Center,10012008,28
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10019776,26
HCO,"University of California, Davis Medical Center",10011322,57
HCO,Keck Hospital of USC,10011833,36
HCO,Ronald Reagan UCLA Medical Center,10012050,18
HCO,"University of California, Davis Medical Center",10019377,57
HCO,Northwestern Memorial Hospital,10010559,31
HCO,Barnes-Jewish Hospital,10018642,24
HCO,Tufts Medical Center,10018971,28
HCO,"University of California, Davis Medical Center",10019034,57
HCO,"University of California, Davis Medical Center",10019776,57
HCO,Duke University Hospital,10009159,27
HCO,Scripps La Jolla Hospitals,10019573,16
HCO,Mayo Clinic - Rochester,10019720,26
HCO,Baylor University Medical Center,10019909,27
HCO,Northwestern Memorial Hospital,10010013,31
HCO,Cleveland Clinic Fairview Hospital,10010356,32
HCO,The Mount Sinai Hospital,10019342,23
HCO,University of Michigan Hospitals - Michigan Medicine,10021202,23
HCO,University of Wisconsin Hospitals,10019454,17
HCO,Morristown Medical Center,10010048,29
HCO,UCLA Medical Center - Santa Monica ,10018397,36
HCO,Mayo Clinic - Phoenix,10019951,26
HCO,The Mount Sinai Hospital,10010132,23
HCO,University Hospitals Cleveland Medical Center,10009943,34
HCO,Duke University Hospital,10010797,27
HCO,UCSF Medical Center,10019615,26
HCO,Mayo Clinic - Rochester,10011245,26
HCO,University Hospitals Cleveland Medical Center,10010594,34
HCO,"University of California, Davis Medical Center",10018523,57
HCO,UCSF Medical Center,10009761,26
HCO,Stanford Health Care-Stanford Hospital,10010937,22
HCO,Massachusetts General Hospital,10018684,18
HCO,Mayo Clinic - Rochester,10011742,26
HCO,Ronald Reagan UCLA Medical Center,10011847,18
HCO,University of Colorado Hospital,10011455,22
HCO,University Hospitals Cleveland Medical Center,10019825,34
HCO,Mayo Clinic - Phoenix,10021097,26
HCO,Cleveland Clinic,10018572,23
HCO,Mayo Clinic - Rochester,10010776,26
HCO,UAB Hospital,10009285,24
HCO,Baylor University Medical Center,10018138,27
HCO,Cleveland Clinic,10018628,23
HCO,Cleveland Clinic,10010440,23
HCO,Cleveland Clinic,10010573,23
HCO,Massachusetts General Hospital,10019244,18
HCO,UAB Hospital,10009607,24
HCO,The Johns Hopkins Hospital,10011189,30
HCO,Barnes-Jewish Hospital,10019874,24
HCO,Ronald Reagan UCLA Medical Center,10019363,18
HCO,Northwestern Memorial Hospital,10009068,31
HCO,Vanderbilt University Medical Center,10019174,27
HCO,Brigham And Women's Hospital,10020056,29
HCO,Rush University Medical Center,10010909,22
HCO,University of Wisconsin Hospitals,10020371,17
HCO,Keck Hospital of USC,10011098,36
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10009068,26
HCO,Cedars-Sinai Medical Center,10020826,24
HCO,Baylor University Medical Center,10011028,27
HCO,Cleveland Clinic Fairview Hospital,10010566,32
HCO,Brigham And Women's Hospital,10020504,29
HCO,Cleveland Clinic,10011987,23
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10021307,28
HCO,Massachusetts General Hospital,10009180,18
HCO,Barnes-Jewish Hospital,10010650,24
HCO,Tufts Medical Center,10010706,28
HCO,Massachusetts General Hospital,10019083,18
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10018684,26
HCO,Stanford Health Care-Stanford Hospital,10018579,22
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10018649,26
HCO,Duke University Hospital,10021272,27
HCO,Cleveland Clinic Fairview Hospital,10010076,32
HCO,NYU Langone Hospitals,10021286,12
HCO,NYU Langone Hospitals,10011196,12
HCO,Duke University Hospital,10020847,27
HCO,Barnes-Jewish Hospital,10010139,24
HCO,Cleveland Clinic Fairview Hospital,10009460,32
HCO,Beth Israel Deaconess Medical Center,10018369,25
HCO,University Hospitals Cleveland Medical Center,10019741,34
HCO,Stanford Health Care-Stanford Hospital,10010734,22
HCO,UPMC Presbyterian & Shadyside,10010650,32
HCO,UAB Hospital,10018376,24
HCO,The Mount Sinai Hospital,10018446,23
HCO,Cedars-Sinai Medical Center,10009425,24
HCO,"University of California, Davis Medical Center",10010951,57
HCO,"University of California, Davis Medical Center",10020504,57
HCO,Cleveland Clinic Fairview Hospital,10011413,32
HCO,"University of California, Davis Medical Center",10018873,57
HCO,University Hospitals Cleveland Medical Center,10019874,34
HCO,Cedars-Sinai Medical Center,10019832,24
HCO,University of Kansas Hospital,10019146,26
HCO,Mayo Clinic - Phoenix,10018565,26
HCO,Mayo Clinic - Rochester,10018516,26
HCO,Duke University Hospital,10009957,27
HCO,Brigham And Women's Hospital,10018474,29
HCO,Scripps La Jolla Hospitals,10019762,16
HCO,Duke University Hospital,10020133,27
HCO,University of Kansas Hospital,10020175,26
HCO,Ronald Reagan UCLA Medical Center,10011672,18
HCO,Cleveland Clinic Fairview Hospital,10019636,32
HCO,Brigham And Women's Hospital,10010370,29
HCO,University of Wisconsin Hospitals,10011952,17
HCO,Stanford Health Care-Stanford Hospital,10021146,22
HCO,Morristown Medical Center,10018159,29
HCO,University of Michigan Hospitals - Michigan Medicine,10010041,23
HCO,UCSF Medical Center,10019314,26
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10018124,18
HCO,Emory University Hospital,10009376,32
HCO,Ronald Reagan UCLA Medical Center,10011861,18
HCO,Cleveland Clinic,10011000,23
HCO,UCLA Medical Center - Santa Monica ,10010601,36
HCO,Keck Hospital of USC,10010993,36
HCO,Duke University Hospital,10012057,27
HCO,Mayo Clinic - Phoenix,10011455,26
HCO,Ohio State University Wexner Medical Center,10010972,24
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10019538,26
HCO,The Mount Sinai Hospital,10011280,23
HCO,Mayo Clinic - Rochester,10011434,26
HCO,UCLA Medical Center - Santa Monica ,10010755,36
HCO,University of Kansas Hospital,10019895,26
HCO,Stanford Health Care-Stanford Hospital,10018628,22
HCO,UCLA Medical Center - Santa Monica ,10010825,36
HCO,Cleveland Clinic Fairview Hospital,10009789,32
HCO,University Hospitals Cleveland Medical Center,10019090,34
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10021153,26
HCO,Cleveland Clinic,10018222,23
HCO,"University of California, Davis Medical Center",10020427,57
HCO,UCLA Medical Center - Santa Monica ,10011392,36
HCO,Cedars-Sinai Medical Center,10010174,24
HCO,"University of California, Davis Medical Center",10009215,57
HCO,UT Southwestern Medical Center,10018257,28
HCO,Keck Hospital of USC,10018292,36
HCO,University Hospitals Cleveland Medical Center,10020315,34
HCO,NYU Langone Hospitals,10018453,12
HCO,UPMC Presbyterian & Shadyside,10018292,32
HCO,University of Michigan Hospitals - Michigan Medicine,10019167,23
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10010216,28
HCO,Torrance Memorial Medical Center,10019286,24
HCO,Vanderbilt University Medical Center,10018733,27
HCO,Emory University Hospital,10009390,32
HCO,Scripps La Jolla Hospitals,10010818,16
HCO,UPMC Presbyterian & Shadyside,10018621,32
